"Condition","SI_pow","SI_force","Ft_mean","Fr_mean","Tot_power","Cadence","RF_norm","LF_norm","VO2_Normalized","Gross_Metabolic_Power","Normalized_Gross_Metabolic_Power","Net_Metabolic_Power","Normalized_Net_Metabolic_Power","RER","FE","efficiency","percents","pow_condition","SI_force_base"
"Noasym1p5",13.1901261703054,1.1670365237486,56.4703503383414,-109.480892583459,90.94127230602,89.8616617575347,104.137447414492,102.925066821774,NA,NA,NA,NA,NA,NA,34.0282780316092,NA,"No","1p5",0
"0%1p5",3.53993668692274,1.10160304308216,54.1151720585178,-110.078875072385,87.1852527528829,89.8922637490706,103.691065244116,103.470926204592,25.0377356049625,513.99020544274,8.77116391540512,405.779510936286,6.92456503304242,0.853030194838842,32.958059688592,21.4858686560378,"0%","1p5",-0.0654334806664454
"10%1p5",17.8906079210973,9.42578625500317,53.4027243739091,-104.231517456365,85.259748923227,89.1966103649793,99.5644769942795,109.417804147126,23.9613220015519,488.895761782924,8.34293108844581,380.68506727647,6.49633220608311,0.826969839632511,33.8776167879871,22.3963996101028,"10%","1p5",8.25874973125457
"20%1p5",28.0389357810654,13.1727470393505,54.1134646124354,-105.878245065678,88.2554004448241,91.2471580598433,98.7497596136154,112.655921556965,24.8091517982009,507.561186132332,8.66145368826505,399.350491625878,6.81485480590235,0.838895464936892,33.8226678877963,22.0997350186072,"20%","1p5",12.0057105156019
"30%1p5",53.9204454452029,21.9508207482667,52.699150127938,-100.134166560927,85.5904295345891,90.9842880582597,89.7010568091611,111.862057660378,23.6649350521009,485.096680666837,8.27810035267641,376.885986160383,6.43150147031371,0.846919529139996,34.4814542206278,22.709899724997,"30%","1p5",20.7837842245181
"Noasym2p5",4.96072062835258,2.20097279160035,90.5272778999,-121.603399735206,145.30548304059,89.5244903945658,123.652866515781,126.403756765519,NA,NA,NA,NA,NA,NA,42.6752409925449,NA,"No","2p5",0
"0%2p5",0.980036796696086,3.2413750380029,87.2789983853142,-127.186563657526,143.654486865311,91.7816930776796,120.381533612843,124.35594771542,33.754728074108,699.167192659444,11.9311807621066,590.95649815299,10.0845818797439,0.892321849862734,40.6960434831397,24.3088090771989,"0%","2p5",1.04040224640255
"10%2p5",13.9821421969466,14.1326438318491,85.4767938418779,-114.401533547776,142.713358608858,93.2093311103529,108.311706167858,124.780871347395,33.9495651623879,700.451710639728,11.9531008641592,592.241016133274,10.1065019817965,0.875412536164125,42.7644132098648,24.0971757647975,"10%","2p5",11.9316710402488
"20%2p5",14.8504528448873,19.0298697997642,87.2112970763461,-114.580984176279,141.791925909235,90.8373117286214,111.367858838853,134.776923750326,33.7644387831091,696.746432660354,11.8898708645112,588.535738153901,10.0432719821485,0.87575223048528,43.2183513338479,24.092322133912,"20%","2p5",16.8288970081639
"30%2p5",31.336244909206,25.5494976064912,85.3503607291719,-116.038310194902,142.362642174948,93.2292427754564,105.789138789535,136.798907671828,33.9016568575136,700.06076016691,11.9464293543841,591.850065660456,10.0998304720214,0.878962876896063,42.3809146450696,24.0538356646262,"30%","2p5",23.3485248148909
